job_id,recruiter_id,company,title,description,requirements,location,job_type,salary_min,salary_max,experience_level,skills_required,status,applications_count,views_count,created_at,updated_at,id
job-0001,b1a1d1e1-3001-4000-8000-000000000301,TechCorp,Frontend Developer,Develop and maintain web applications using React.,"React, JavaScript, CSS",New York,full-time,70000,90000,mid,"React, JavaScript",active,12,150,2024-01-10T09:00:00Z,2024-01-25T09:00:00Z,226b31a8-8c8b-44df-8332-b141f6909bb2
job-0002,b1a1d1e1-3002-4000-8000-000000000302,Innovate Inc,Backend Engineer,Build scalable backend services with Node.js and PostgreSQL.,"Node.js, PostgreSQL, Docker",San Francisco,full-time,80000,110000,senior,"Node.js, PostgreSQL",active,8,120,2024-01-12T09:00:00Z,2024-01-25T09:00:00Z,63c1b239-0696-4ec4-92a8-acaaa44d18f3
job-0003,b1a1d1e1-3003-4000-8000-000000000303,DataWorks,Data Analyst,Analyze and interpret complex datasets.,"SQL, Python, Excel",Chicago,full-time,65000,85000,mid,"SQL, Python",active,10,100,2024-01-14T09:00:00Z,2024-01-25T09:00:00Z,93933cf6-9a39-432b-834e-1a3cd67d9577
job-0004,b1a1d1e1-3004-4000-8000-000000000304,CloudNet,Cloud Architect,Design cloud infrastructure for clients.,"AWS, Azure, GCP",Seattle,full-time,95000,130000,senior,"AWS, Azure",active,6,90,2024-01-16T09:00:00Z,2024-01-25T09:00:00Z,699b0393-9ee8-4d59-a807-10df0f72294f
job-0005,b1a1d1e1-3005-4000-8000-000000000305,FinEdge,Financial Analyst,Provide financial insights and reports.,"Excel, PowerBI, Finance",Boston,full-time,60000,80000,mid,"Excel, Finance",active,9,110,2024-01-18T09:00:00Z,2024-01-25T09:00:00Z,2ad8e3df-e5ed-4c5c-a761-bd2e7efe1484
job-0006,b1a1d1e1-3006-4000-8000-000000000306,EduNext,Education Consultant,Advise on curriculum development.,"Education, Communication",Austin,part-time,40000,60000,entry,"Education, Communication",active,5,70,2024-01-20T09:00:00Z,2024-01-25T09:00:00Z,4fccf0fe-02df-46b4-ade4-5539e91eb5a5
job-0007,b1a1d1e1-3007-4000-8000-000000000307,HealthPlus,Healthcare Data Scientist,Analyze healthcare data for insights.,"Python, R, Healthcare",Miami,full-time,90000,120000,senior,"Python, R",active,7,80,2024-01-22T09:00:00Z,2024-01-25T09:00:00Z,c34ad9b0-4646-4c00-9c07-3eebe1b4870f
job-0008,b1a1d1e1-3008-4000-8000-000000000308,GreenTech,Sustainability Analyst,Research sustainable solutions.,"Research, Sustainability",Denver,full-time,70000,95000,mid,"Research, Sustainability",active,8,95,2024-01-24T09:00:00Z,2024-01-25T09:00:00Z,060a8795-8270-4406-abff-d0b6d4984fe8
job-0009,b1a1d1e1-3009-4000-8000-000000000309,RetailHub,E-commerce Manager,Manage online retail operations.,"E-commerce, Management",Dallas,full-time,75000,100000,senior,"E-commerce, Management",active,11,130,2024-01-26T09:00:00Z,2024-01-25T09:00:00Z,a2698dc3-0a78-42d5-8e1e-a459125654e3
job-0010,b1a1d1e1-3010-4000-8000-000000000310,AutoDrive,Mechanical Engineer,Design automotive components.,"AutoCAD, Mechanical",Detroit,full-time,80000,105000,mid,"AutoCAD, Mechanical",active,6,85,2024-01-28T09:00:00Z,2024-01-25T09:00:00Z,83585ed2-1a6f-47bc-a687-56dda1106945
