notification_id,user_id,title,message,type,category,read,action_url,created_at,id
not-0001,b1a1d1e1-0001-4000-8000-000000000001,Badge Earned,Congratulations! You earned the JavaScript Master badge.,success,badge,false,https://badges.harbor.edu/bdg-0001,2024-01-15T09:00:00Z,d2f8efee-c883-4b6f-b3f1-e53c6f81d0c0
not-0002,b1a1d1e1-0002-4000-8000-000000000002,Job Application Status,Your application for Frontend Developer is under review.,info,application,true,https://jobs.harbor.edu/job-0001,2024-01-16T10:00:00Z,2ee3a149-bb9a-4c3d-831f-f71bc16d0c3c
not-0003,b1a1d1e1-0003-4000-8000-000000000003,Assignment Graded,Your Python Basics assignment has been graded.,info,system,false,https://assignments.harbor.edu/asg-0001,2024-02-12T09:00:00Z,bab6d930-c027-4636-a58c-f5a7cc38ff3d
not-0004,b1a1d1e1-0004-4000-8000-000000000004,Course Enrollment,You have been enrolled in Thermodynamics.,info,system,false,https://courses.harbor.edu/crs-0002,2024-01-17T11:00:00Z,10125055-8c88-4f78-b16b-263bcc05b5a5
not-0005,b1a1d1e1-0005-4000-8000-000000000005,Project Milestone,Prototype Complete milestone achieved.,info,system,true,https://projects.harbor.edu/proj-0001,2024-01-18T12:00:00Z,fe1396e3-60eb-471a-88a8-549fedf3058e
not-0006,b1a1d1e1-0006-4000-8000-000000000006,New Assignment,A new assignment on Data Structures is available.,info,system,false,https://assignments.harbor.edu/asg-0002,2024-01-19T13:00:00Z,161129a5-50c1-407c-9ca6-f82e34d4a727
not-0007,b1a1d1e1-0007-4000-8000-000000000007,Skill Endorsed,Your React skill was endorsed by Dr. Sophia Ramirez.,success,message,true,https://skills.harbor.edu/usk-0002,2024-01-20T14:00:00Z,f98a3f23-8dc3-49f7-bcaa-26f7491d333b
not-0008,b1a1d1e1-0008-4000-8000-000000000008,Job Offer,You received a job offer from TechCorp.,info,job,false,https://jobs.harbor.edu/job-0002,2024-01-21T15:00:00Z,28952f77-4203-4362-a393-59b591be1fce
not-0009,b1a1d1e1-0009-4000-8000-000000000009,Transcript Updated,Your transcript has been updated.,info,system,true,https://transcripts.harbor.edu/trn-0001,2024-01-22T16:00:00Z,5a9086d2-7bf9-4c06-97d6-678b8bf181c5
not-0010,b1a1d1e1-0010-4000-8000-000000000010,Badge Earned,Congratulations! You earned the Team Player badge.,success,badge,false,https://badges.harbor.edu/bdg-0002,2024-01-23T17:00:00Z,745d0aac-c068-4256-82b8-4d780c815520
not-0011,b1a1d1e1-0011-4000-8000-000000000011,Assignment Due,Your assignment on Algorithms is due tomorrow.,info,system,false,https://assignments.harbor.edu/asg-0003,2024-01-24T18:00:00Z,1fbd1b8c-867e-4d94-a22a-0c9ccb1ac3dd
not-0012,b1a1d1e1-0012-4000-8000-000000000012,Course Completed,You have completed Data Structures.,info,system,true,https://courses.harbor.edu/crs-0003,2024-01-25T19:00:00Z,1acbc224-6e24-47f8-8be0-aa6c1eb4eb9f
not-0013,b1a1d1e1-0013-4000-8000-000000000013,New Notification,Your profile was viewed by a recruiter.,info,system,false,https://profiles.harbor.edu/b1a1d1e1-0013-4000-8000-000000000013,2024-01-26T20:00:00Z,efc94c5f-9f81-46d1-9837-6c9840fe3b15
