student_id,profile_id,enrollment_number,program,department,year_of_study,section,admission_date,status,id,university,major,graduation_year,gpa,skills,bio,resume_url,linkedin_url,github_url,portfolio_url
stu-0001,b1a1d1e1-0001-4000-8000-000000000001,ENR20230001,B.Tech Computer Science,Computer Science,3,A,2023-08-15,active,b1a1d1e1-0001-4000-8000-000000000001,PPSU University 2,Computer Science,2027,3.97,React;Git;Node.js;C++,Passionate about technology and software development.,https://resumes.harbor.edu/student0001.pdf,https://linkedin.com/in/student0001,https://github.com/student0001,https://student0001.harbor.dev
stu-0002,b1a1d1e1-0002-4000-8000-000000000002,ENR20230002,B.Tech Computer Science,Computer Science,2,B,2023-09-01,active,b1a1d1e1-0002-4000-8000-000000000002,PPSU University,Computer Science,2027,3.29,React;AWS;Python,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0002.pdf,https://linkedin.com/in/student0002,https://github.com/student0002,https://student0002.harbor.dev
stu-0003,b1a1d1e1-0003-4000-8000-000000000003,ENR20230003,B.Tech Mechanical,Mechanical,1,A,2023-09-10,active,b1a1d1e1-0003-4000-8000-000000000003,PPSU University,Mechanical,2027,2.52,JavaScript;SQL;C++;Docker,Passionate about technology and software development.,https://resumes.harbor.edu/student0003.pdf,https://linkedin.com/in/student0003,https://github.com/student0003,https://student0003.harbor.dev
stu-0004,b1a1d1e1-0004-4000-8000-000000000004,ENR20230004,B.Tech Civil,Civil,4,C,2023-10-01,inactive,b1a1d1e1-0004-4000-8000-000000000004,PPSU University 2,Civil,2027,3.52,AWS;Git;C++;Node.js,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0004.pdf,https://linkedin.com/in/student0004,https://github.com/student0004,https://student0004.harbor.dev
stu-0005,b1a1d1e1-0005-4000-8000-000000000005,ENR20230005,B.Sc Physics,Physics,2,B,2023-10-15,active,b1a1d1e1-0005-4000-8000-000000000005,PPSU University,B.Sc Physics,2027,3.80,JavaScript;Git;SQL;React;Node.js,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0005.pdf,https://linkedin.com/in/student0005,https://github.com/student0005,https://student0005.harbor.dev
stu-0006,b1a1d1e1-0006-4000-8000-000000000006,ENR20230006,B.Com,Commerce,1,A,2023-08-20,active,b1a1d1e1-0006-4000-8000-000000000006,PPSU University,B.Com,2027,2.85,JavaScript;Python;Java;React,Creative thinker focused on building innovative solutions.,https://resumes.harbor.edu/student0006.pdf,https://linkedin.com/in/student0006,https://github.com/student0006,https://student0006.harbor.dev
stu-0007,b1a1d1e1-0007-4000-8000-000000000007,ENR20230007,B.A English,English,3,C,2023-09-05,active,b1a1d1e1-0007-4000-8000-000000000007,PPSU University 2,B.A English,2027,3.09,React;Python;Git;Docker,Creative thinker focused on building innovative solutions.,https://resumes.harbor.edu/student0007.pdf,https://linkedin.com/in/student0007,https://github.com/student0007,https://student0007.harbor.dev
stu-0008,b1a1d1e1-0008-4000-8000-000000000008,ENR20230008,B.Tech Computer Science,Computer Science,2,B,2023-09-12,active,b1a1d1e1-0008-4000-8000-000000000008,PPSU University,Computer Science,2027,3.81,JavaScript;Docker;C++,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0008.pdf,https://linkedin.com/in/student0008,https://github.com/student0008,https://student0008.harbor.dev
stu-0009,b1a1d1e1-0009-4000-8000-000000000009,ENR20230009,B.Sc Chemistry,Chemistry,1,A,2023-10-03,inactive,b1a1d1e1-0009-4000-8000-000000000009,PPSU University,B.Sc Chemistry,2027,2.74,React;Node.js;AWS;SQL,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0009.pdf,https://linkedin.com/in/student0009,https://github.com/student0009,https://student0009.harbor.dev
stu-0010,b1a1d1e1-0010-4000-8000-000000000010,ENR20230010,B.Tech Electrical,Electrical,4,C,2023-10-18,active,b1a1d1e1-0010-4000-8000-000000000010,PPSU University 2,Electrical,2027,3.01,C++;Java;Node.js;JavaScript;React,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0010.pdf,https://linkedin.com/in/student0010,https://github.com/student0010,https://student0010.harbor.dev
stu-0011,b1a1d1e1-0011-4000-8000-000000000011,ENR20230011,B.Sc Mathematics,Mathematics,2,A,2023-08-25,active,b1a1d1e1-0011-4000-8000-000000000011,PPSU University,B.Sc Mathematics,2027,2.71,AWS;Python;Docker,Creative thinker focused on building innovative solutions.,https://resumes.harbor.edu/student0011.pdf,https://linkedin.com/in/student0011,https://github.com/student0011,https://student0011.harbor.dev
stu-0012,b1a1d1e1-0012-4000-8000-000000000012,ENR20230012,B.Tech Computer Science,Computer Science,1,B,2023-09-02,active,b1a1d1e1-0012-4000-8000-000000000012,PPSU University,Computer Science,2027,3.80,C++;AWS;Docker;SQL,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0012.pdf,https://linkedin.com/in/student0012,https://github.com/student0012,https://student0012.harbor.dev
stu-0013,b1a1d1e1-0013-4000-8000-000000000013,ENR20230013,B.Sc Physics,Physics,3,C,2023-09-11,active,b1a1d1e1-0013-4000-8000-000000000013,PPSU University 2,B.Sc Physics,2027,3.18,JavaScript;Git;Node.js,Passionate about technology and software development.,https://resumes.harbor.edu/student0013.pdf,https://linkedin.com/in/student0013,https://github.com/student0013,https://student0013.harbor.dev
stu-0014,b1a1d1e1-0014-4000-8000-000000000014,ENR20230014,B.Tech Civil,Civil,2,A,2023-10-02,inactive,b1a1d1e1-0014-4000-8000-000000000014,PPSU University,Civil,2027,3.23,SQL;AWS;Git;React;Java,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0014.pdf,https://linkedin.com/in/student0014,https://github.com/student0014,https://student0014.harbor.dev
stu-0015,b1a1d1e1-0015-4000-8000-000000000015,ENR20230015,B.Com,Commerce,4,B,2023-10-16,active,b1a1d1e1-0015-4000-8000-000000000015,PPSU University 2,B.Com,2027,3.37,SQL;Git;C++;JavaScript;Node.js,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0015.pdf,https://linkedin.com/in/student0015,https://github.com/student0015,https://student0015.harbor.dev
stu-0016,b1a1d1e1-0016-4000-8000-000000000016,ENR20230016,B.A English,English,1,C,2023-08-30,active,b1a1d1e1-0016-4000-8000-000000000016,PPSU University,B.A English,2027,3.50,SQL;C++;JavaScript;React,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0016.pdf,https://linkedin.com/in/student0016,https://github.com/student0016,https://student0016.harbor.dev
stu-0017,b1a1d1e1-0017-4000-8000-000000000017,ENR20230017,B.Tech Mechanical,Mechanical,3,A,2023-09-06,active,b1a1d1e1-0017-4000-8000-000000000017,PPSU University 2,Mechanical,2027,2.87,Git;Java;SQL;React;Node.js,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0017.pdf,https://linkedin.com/in/student0017,https://github.com/student0017,https://student0017.harbor.dev
stu-0018,b1a1d1e1-0018-4000-8000-000000000018,ENR20230018,B.Sc Chemistry,Chemistry,2,B,2023-09-13,active,b1a1d1e1-0018-4000-8000-000000000018,PPSU University,B.Sc Chemistry,2027,3.98,SQL;Java;AWS;JavaScript;React,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0018.pdf,https://linkedin.com/in/student0018,https://github.com/student0018,https://student0018.harbor.dev
stu-0019,b1a1d1e1-0019-4000-8000-000000000019,ENR20230019,B.Tech Electrical,Electrical,1,C,2023-10-04,inactive,b1a1d1e1-0019-4000-8000-000000000019,PPSU University,Electrical,2027,2.71,AWS;Java;Python;SQL;React,Creative thinker focused on building innovative solutions.,https://resumes.harbor.edu/student0019.pdf,https://linkedin.com/in/student0019,https://github.com/student0019,https://student0019.harbor.dev
stu-0020,b1a1d1e1-0020-4000-8000-000000000020,ENR20230020,B.Sc Mathematics,Mathematics,4,A,2023-10-19,active,b1a1d1e1-0020-4000-8000-000000000020,PPSU University 2,B.Sc Mathematics,2027,3.16,Node.js;C++;Java;AWS,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0020.pdf,https://linkedin.com/in/student0020,https://github.com/student0020,https://student0020.harbor.dev
stu-0021,b1a1d1e1-0021-4000-8000-000000000021,ENR20230021,B.Tech Computer Science,Computer Science,2,B,2023-08-28,active,b1a1d1e1-0021-4000-8000-000000000021,PPSU University,Computer Science,2027,2.61,React;C++;JavaScript;Docker,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0021.pdf,https://linkedin.com/in/student0021,https://github.com/student0021,https://student0021.harbor.dev
stu-0022,b1a1d1e1-0022-4000-8000-000000000022,ENR20230022,B.Sc Physics,Physics,1,C,2023-09-03,active,b1a1d1e1-0022-4000-8000-000000000022,PPSU University,B.Sc Physics,2027,2.60,Node.js;Docker;React;JavaScript,Detail-oriented developer with team collaboration experience.,https://resumes.harbor.edu/student0022.pdf,https://linkedin.com/in/student0022,https://github.com/student0022,https://student0022.harbor.dev
stu-0023,b1a1d1e1-0023-4000-8000-000000000023,ENR20230023,B.Tech Civil,Civil,3,A,2023-09-14,active,b1a1d1e1-0023-4000-8000-000000000023,PPSU University 2,Civil,2027,3.59,C++;SQL;JavaScript,Creative thinker focused on building innovative solutions.,https://resumes.harbor.edu/student0023.pdf,https://linkedin.com/in/student0023,https://github.com/student0023,https://student0023.harbor.dev
stu-0024,b1a1d1e1-0024-4000-8000-000000000024,ENR20230024,B.Com,Commerce,2,B,2023-10-05,inactive,b1a1d1e1-0024-4000-8000-000000000024,PPSU University,B.Com,2027,2.84,Docker;C++;SQL;Java;AWS,Enthusiastic learner with strong problem-solving skills.,https://resumes.harbor.edu/student0024.pdf,https://linkedin.com/in/student0024,https://github.com/student0024,https://student0024.harbor.dev
stu-0025,b1a1d1e1-0025-4000-8000-000000000025,ENR20230025,B.A English,English,4,C,2023-10-20,active,b1a1d1e1-0025-4000-8000-000000000025,PPSU University 2,B.A English,2027,2.95,C++;SQL;Git;React,Passionate about technology and software development.,https://resumes.harbor.edu/student0025.pdf,https://linkedin.com/in/student0025,https://github.com/student0025,https://student0025.harbor.dev
