id,milestone_id,project_id,title,description,due_date,completed,completed_at,created_at
32b165de-532b-4cf8-8281-509a6b300058,mil-0001,40a0b2af-cbbe-42e5-80e4-73ff2b4e45a9,Prototype Complete,Initial prototype ready for review.,2024-02-20,true,2024-02-19,2024-01-25T09:00:00Z
80e84e0c-7b48-47cc-a6cd-3e997b64f69d,mil-0002,ddccfe6e-e073-4145-9139-cb9c9c9d95e3,Final Report,Submit final project report.,2024-03-10,false,,2024-01-25T09:00:00Z
f731c312-fa35-4384-ba27-d448385943b6,mil-0003,b964f7ce-ad58-4350-bd62-59920701d12a,Design Review,Review project design with mentor.,2024-02-25,true,2024-02-24,2024-01-26T09:00:00Z
71931348-2bee-42d5-875e-bcb7b4e714c9,mil-0004,2a528521-3505-4c3b-b5df-b7e3fff80ee5,Code Freeze,All code must be finalized.,2024-03-01,false,,2024-01-27T09:00:00Z
30cb5a97-0041-4aeb-a028-46557f59d991,mil-0005,1a7f5907-8fab-4df0-9ee2-27a0fabab0a2,Testing Phase,Begin comprehensive testing.,2024-03-05,false,,2024-01-28T09:00:00Z
69fa94db-9154-40dc-81c9-76c253e95661,mil-0006,b788960f-12c0-42de-92c4-1e164e7a1063,Documentation Complete,All documentation submitted.,2024-03-10,true,2024-03-09,2024-01-29T09:00:00Z
4d1d8b35-7aa7-4a13-95d5-6c5b1a591782,mil-0007,ab18eb41-e66b-4419-9793-f8361fd7f28b,Demo Scheduled,Project demo scheduled with faculty.,2024-03-15,false,,2024-01-30T09:00:00Z
fb87114f-7d78-461d-97bd-829a90d9fa76,mil-0008,00438081-8697-4b88-b23f-9fbc190a7561,Peer Review,Peer review session completed.,2024-03-20,true,2024-03-19,2024-01-31T09:00:00Z
57a5b8a3-9eb6-4164-9571-8bd1fbf6a2a7,mil-0009,f44addf8-81c8-4e34-ba82-68ca0cc1e68c,Deployment,Deploy project to production.,2024-03-25,false,,2024-02-01T09:00:00Z
7ad59805-3a06-4326-a18d-49b08d9bf81f,mil-0010,6e602842-7cdf-437d-b0cd-5b17d60b07e5,Feedback Incorporated,Incorporate feedback from demo.,2024-03-30,true,2024-03-29,2024-02-02T09:00:00Z
